27,16,36,,,Single Super Phosphate (SSP) or DAP,"Bone Meal, Rock Phosphate",Muriate of Potash (MOP) or Sulfate of Potash,"Wood Ash, Banana Peel Fertilizer"
28,35,50,,,,,,
24,11,50,,,Single Super Phosphate (SSP) or DAP,"Bone Meal, Rock Phosphate",,
19,42,41,Urea (46% N) or Ammonium Nitrate,"Compost, Vermicompost, or Cow Manure",,,,
42,10,51,,,Single Super Phosphate (SSP) or DAP,"Bone Meal, Rock Phosphate",,
31,25,7,,,Single Super Phosphate (SSP) or DAP,"Bone Meal, Rock Phosphate",Muriate of Potash (MOP) or Sulfate of Potash,"Wood Ash, Banana Peel Fertilizer"
45,40,6,,,,,Muriate of Potash (MOP) or Sulfate of Potash,"Wood Ash, Banana Peel Fertilizer"
26,45,48,,,,,,
47,8,10,,,Single Super Phosphate (SSP) or DAP,"Bone Meal, Rock Phosphate",Muriate of Potash (MOP) or Sulfate of Potash,"Wood Ash, Banana Peel Fertilizer"
0.0267759,0.029417964,0.029848138,Urea (46% N) or Ammonium Nitrate,"Compost, Vermicompost, or Cow Manure",Single Super Phosphate (SSP) or DAP,"Bone Meal, Rock Phosphate",Muriate of Potash (MOP) or Sulfate of Potash,"Wood Ash, Banana Peel Fertilizer"
0.0267759,0.029417964,0.029848138,Urea (46% N) or Ammonium Nitrate,"Compost, Vermicompost, or Cow Manure",Single Super Phosphate (SSP) or DAP,"Bone Meal, Rock Phosphate",Muriate of Potash (MOP) or Sulfate of Potash,"Wood Ash, Banana Peel Fertilizer"
0.0267759,0.029417964,0.029848138,Urea (46% N) or Ammonium Nitrate,"Compost, Vermicompost, or Cow Manure",Single Super Phosphate (SSP) or DAP,"Bone Meal, Rock Phosphate",Muriate of Potash (MOP) or Sulfate of Potash,"Wood Ash, Banana Peel Fertilizer"
0.0267759,0.029417964,0.029848138,Urea (46% N) or Ammonium Nitrate,"Compost, Vermicompost, or Cow Manure",Single Super Phosphate (SSP) or DAP,"Bone Meal, Rock Phosphate",Muriate of Potash (MOP) or Sulfate of Potash,"Wood Ash, Banana Peel Fertilizer"
0.0267759,0.029417964,0.029848138,Urea (46% N) or Ammonium Nitrate,"Compost, Vermicompost, or Cow Manure",Single Super Phosphate (SSP) or DAP,"Bone Meal, Rock Phosphate",Muriate of Potash (MOP) or Sulfate of Potash,"Wood Ash, Banana Peel Fertilizer"
27.565104,8.987441,5.6069026,,,Single Super Phosphate (SSP) or DAP,"Bone Meal, Rock Phosphate",Muriate of Potash (MOP) or Sulfate of Potash,"Wood Ash, Banana Peel Fertilizer"
27.563227,8.98486,5.608858,,,Single Super Phosphate (SSP) or DAP,"Bone Meal, Rock Phosphate",Muriate of Potash (MOP) or Sulfate of Potash,"Wood Ash, Banana Peel Fertilizer"
27.565857,8.98568,5.6046157,,,Single Super Phosphate (SSP) or DAP,"Bone Meal, Rock Phosphate",Muriate of Potash (MOP) or Sulfate of Potash,"Wood Ash, Banana Peel Fertilizer"
27.563066,8.985021,5.6064353,,,Single Super Phosphate (SSP) or DAP,"Bone Meal, Rock Phosphate",Muriate of Potash (MOP) or Sulfate of Potash,"Wood Ash, Banana Peel Fertilizer"
27.56718,8.985627,5.603195,,,Single Super Phosphate (SSP) or DAP,"Bone Meal, Rock Phosphate",Muriate of Potash (MOP) or Sulfate of Potash,"Wood Ash, Banana Peel Fertilizer"
27.567823,8.986336,5.607886,,,Single Super Phosphate (SSP) or DAP,"Bone Meal, Rock Phosphate",Muriate of Potash (MOP) or Sulfate of Potash,"Wood Ash, Banana Peel Fertilizer"
27.568424,8.981956,5.598336,,,Single Super Phosphate (SSP) or DAP,"Bone Meal, Rock Phosphate",Muriate of Potash (MOP) or Sulfate of Potash,"Wood Ash, Banana Peel Fertilizer"
27.566872,8.986625,5.609029,,,Single Super Phosphate (SSP) or DAP,"Bone Meal, Rock Phosphate",Muriate of Potash (MOP) or Sulfate of Potash,"Wood Ash, Banana Peel Fertilizer"
27.568392,8.982137,5.6021986,,,Single Super Phosphate (SSP) or DAP,"Bone Meal, Rock Phosphate",Muriate of Potash (MOP) or Sulfate of Potash,"Wood Ash, Banana Peel Fertilizer"
27.560974,8.985354,5.6073766,,,Single Super Phosphate (SSP) or DAP,"Bone Meal, Rock Phosphate",Muriate of Potash (MOP) or Sulfate of Potash,"Wood Ash, Banana Peel Fertilizer"
27.566875,8.984144,5.6027904,,,Single Super Phosphate (SSP) or DAP,"Bone Meal, Rock Phosphate",Muriate of Potash (MOP) or Sulfate of Potash,"Wood Ash, Banana Peel Fertilizer"
27.562849,8.979906,5.5989227,,,Single Super Phosphate (SSP) or DAP,"Bone Meal, Rock Phosphate",Muriate of Potash (MOP) or Sulfate of Potash,"Wood Ash, Banana Peel Fertilizer"
27.565216,8.98669,5.604919,,,Single Super Phosphate (SSP) or DAP,"Bone Meal, Rock Phosphate",Muriate of Potash (MOP) or Sulfate of Potash,"Wood Ash, Banana Peel Fertilizer"
27.569017,8.98729,5.606569,,,Single Super Phosphate (SSP) or DAP,"Bone Meal, Rock Phosphate",Muriate of Potash (MOP) or Sulfate of Potash,"Wood Ash, Banana Peel Fertilizer"
27.56672,8.985924,5.6046715,,,Single Super Phosphate (SSP) or DAP,"Bone Meal, Rock Phosphate",Muriate of Potash (MOP) or Sulfate of Potash,"Wood Ash, Banana Peel Fertilizer"
27.565647,8.984062,5.6059604,,,Single Super Phosphate (SSP) or DAP,"Bone Meal, Rock Phosphate",Muriate of Potash (MOP) or Sulfate of Potash,"Wood Ash, Banana Peel Fertilizer"
27.5676,8.985214,5.6081495,,,Single Super Phosphate (SSP) or DAP,"Bone Meal, Rock Phosphate",Muriate of Potash (MOP) or Sulfate of Potash,"Wood Ash, Banana Peel Fertilizer"
27.565928,8.987336,5.6078796,,,Single Super Phosphate (SSP) or DAP,"Bone Meal, Rock Phosphate",Muriate of Potash (MOP) or Sulfate of Potash,"Wood Ash, Banana Peel Fertilizer"
27.56506,8.983427,5.6015477,,,Single Super Phosphate (SSP) or DAP,"Bone Meal, Rock Phosphate",Muriate of Potash (MOP) or Sulfate of Potash,"Wood Ash, Banana Peel Fertilizer"
0.0267759,0.029417964,0.029848138,Urea (46% N) or Ammonium Nitrate,"Compost, Vermicompost, or Cow Manure",Single Super Phosphate (SSP) or DAP,"Bone Meal, Rock Phosphate",Muriate of Potash (MOP) or Sulfate of Potash,"Wood Ash, Banana Peel Fertilizer"
27.563993,8.987328,5.6084313,,,Single Super Phosphate (SSP) or DAP,"Bone Meal, Rock Phosphate",Muriate of Potash (MOP) or Sulfate of Potash,"Wood Ash, Banana Peel Fertilizer"
27.56328,8.981418,5.598338,,,Single Super Phosphate (SSP) or DAP,"Bone Meal, Rock Phosphate",Muriate of Potash (MOP) or Sulfate of Potash,"Wood Ash, Banana Peel Fertilizer"
27.57082,8.985457,5.6046834,,,Single Super Phosphate (SSP) or DAP,"Bone Meal, Rock Phosphate",Muriate of Potash (MOP) or Sulfate of Potash,"Wood Ash, Banana Peel Fertilizer"
27.566893,8.9857435,5.602726,,,Single Super Phosphate (SSP) or DAP,"Bone Meal, Rock Phosphate",Muriate of Potash (MOP) or Sulfate of Potash,"Wood Ash, Banana Peel Fertilizer"
